trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,lambda1_metaweight
374,0.004710093376322142,COMPLETE,0:00:39.190431,0.004312710037784169,13,37,49,44,0.5368572620147593
375,0.29519091100334677,PRUNED,0:00:04.070990,0.006228041579734102,12,29,47,24,0.6910004916470335
376,0.004371748674284798,COMPLETE,0:01:00.679481,0.0032799586279805685,8,38,38,31,0.6093745259313971
377,0.6345102876322727,PRUNED,0:00:00.872526,0.0036185481186899494,22,38,54,30,0.535897120397761
378,0.3285765055493981,PRUNED,0:00:03.681902,0.005042058019240807,9,32,50,59,1.327705484065765
379,0.2826902085355112,PRUNED,0:00:03.465462,0.008818468547080056,15,33,48,37,0.6174367414725717
380,0.005390030767419403,COMPLETE,0:00:35.203791,0.006691144901029976,15,37,38,37,0.6242622897566108
381,0.2584113749135442,PRUNED,0:00:07.360029,0.003137651988807025,9,31,38,34,1.1041572040468242
382,0.2939859560641254,PRUNED,0:00:05.360643,0.006850024835004958,9,30,38,43,0.5203635654410979
383,0.3087799200558499,PRUNED,0:00:01.651874,0.006397348064941202,22,55,36,43,0.5018786111568122
384,0.7267872983161707,PRUNED,0:00:00.921481,0.0024359691170619175,20,37,36,44,1.3568782868766145
385,0.6788906620943594,PRUNED,0:00:01.345037,0.0024085100898487925,13,34,35,44,1.3016288927806334
386,1.2198506208914746,PRUNED,0:00:00.313737,0.00473933641180853,82,27,35,60,1.24176906583272
387,0.3166854155027432,PRUNED,0:00:02.600087,0.004496136085501697,13,31,37,33,0.5882003157434218
388,0.6184084418675174,PRUNED,0:00:00.690277,0.004646773099426077,28,31,47,31,0.5912211817265751
389,0.004974713231706368,COMPLETE,0:01:02.667393,0.003048181590652225,8,41,45,33,0.5383085977803381
390,0.3091902598571866,PRUNED,0:00:02.880800,0.00788469816713288,12,41,37,42,0.5402150537223653
391,0.2732656764895169,PRUNED,0:00:04.104168,0.008598910994043266,12,41,34,27,0.5361636650919298
392,0.8084608159688007,PRUNED,0:00:03.625242,0.008042913377543641,9,40,34,49,1.0304550112400348
393,0.310396027915618,PRUNED,0:00:02.053857,0.010778067740559545,18,33,45,35,1.2726265982141876
394,0.7910358734737487,PRUNED,0:00:00.945473,0.001325927834012441,19,59,45,30,1.273945418631284
395,0.8473826782042239,PRUNED,0:00:01.008630,0.0013382688380121162,18,25,40,30,1.270553692303996
396,0.8375093195564258,PRUNED,0:00:00.897178,0.0013249216229530801,20,30,45,38,1.334714015212229
397,0.6992630775072681,PRUNED,0:00:00.825723,0.006036644067097084,24,30,57,36,1.3398781348267705
398,1.7839170071591182,PRUNED,0:00:01.815954,8.789581854897636e-06,9,25,48,38,1.3129628712226757
399,0.3178892654562798,PRUNED,0:00:03.929227,0.006240806667768177,8,30,48,58,1.337368580926973
400,0.5912463998289809,PRUNED,0:00:02.012245,0.0029142008272779974,8,29,48,40,1.3151441453531751
401,0.3158069614733884,PRUNED,0:00:04.215042,0.0030805530042961647,8,29,52,46,1.466843602886417
402,1.4581804611744025,PRUNED,0:00:00.216312,0.00295879792880506,167,38,48,40,1.3140760534880644
403,0.27373714902778046,PRUNED,0:00:06.206135,0.005522651223841133,8,29,52,39,0.5727323877455988
404,0.003740794488541211,COMPLETE,0:01:00.263385,0.005596395182089345,8,26,29,58,0.5737332064936694
405,0.9024571346375214,PRUNED,0:00:01.142926,0.024099445355221353,15,32,29,51,1.3681141791018618
406,0.2808460776008675,PRUNED,0:00:05.841977,0.005763944404829994,8,28,53,58,1.4310680085186331
407,0.7262286452359932,PRUNED,0:00:00.639208,0.005277237875683735,30,26,50,41,1.4296592653716216
